path	type	bytes	sha256	link_target	component	port_status	linux_6_6_replacement	build_policy	notes
config/scripts/Configure	file	14055	8cde955a879a9440c10efb65653691d9418a10277659b97374801fbd685a4cc4		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/Makefile	file	1066	81e93ad14c62f0218baece6e29f746931a37953fd2b30e3700566c83b9b8d1b8		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/Menuconfig	file	32402	60f86e3dd1a511ecc5479ec0ae189c818079f5a74e90d57face9a906d8b415a2		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/README.Menuconfig	file	7651	07a52d59ad287d17a053f4866b16295c803953dc7322bb2345f114fbeb8f289d		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/README.uClinux	file	203	51bc4e15ed04f215822a40947cf13bb89fa601844c1fdb8cdd58cbcfc608c4b8		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/STDERR	file	25	bea7ddc61364434703a63b8618031d08466809961e382ceb0cc8fa12f085c74e		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/header.tk	file	18516	ea427a5e576963097870249d5f78c19f97395650b2ffff99f887eb907eadf30e		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/lxdialog/BIG.FAT.WARNING	file	234	fafb1692d3d4f88b12fc38a4ddfd818927b0c094f34eb5fdf05000694306de75		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/lxdialog/Makefile	file	1164	cdca29bfba071885de0b7fe29e23f22c8178fd8cb9da595231d6c8c7eebcb13f		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/lxdialog/checklist.c	file	9584	2db18338c046cb97a610adb1f392aa3acccfdb1f33f63b40246a335912f3e6c4		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/lxdialog/colors.h	file	5384	85ca3f8919fe837392471a140c82519cd4d29824306634a16005d62e547c4d3c		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/lxdialog/dialog.h	file	5936	cec7cfa82abd6b36d68762411ccaa8e30c53cf7ab2fff549720fe00b142168f4		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/lxdialog/inputbox.c	file	6179	8bbe8d115f65b76be281bf897f8f3bce56d01ce7f1f13114034615ced62d8940		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/lxdialog/lxdialog.c	file	6023	8df090b9ec0f409aeddc21bccf1107c671d729cca74cdab4cdbaaf8f4322a359		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/lxdialog/menubox.c	file	12716	6d739ccfeee9fec1e0622544afb88f5036a19996602441e698fdb5a2ad9f9ac3		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/lxdialog/msgbox.c	file	2529	2d6af61fda2e3da4fae9fcc33085a25f31a1c6386cbc2c845627da6a0bda5cf3		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/lxdialog/textbox.c	file	15584	977dbddc7693042e37352fdd4a9dd3c1ff831d6b9bf79cfede9a68c82fb924e4		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/lxdialog/util.c	file	9604	b8d952ed45928de96803b77c6d568d07e96c7589d6beb8ea549f5faa8a4d08c7		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/lxdialog/yesno.c	file	3067	e9d9b677faa53d1e30a3a3a88d71c471bd1a4d5641bfa7f7e9eb88643bfffc6d		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/tail.tk	file	2414	a3a450ac18ab035e1bc814ddc7d5644832bb7e8f29a75efdbb4e4762472d361c		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/tkcond.c	file	14760	9dd2d864d2792e2af513b15e196c3292d761e53b995e522911f1b73cff3c174a		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/tkgen.c	file	47273	24c63990c87ba60a231b9f64471a2098f235a62dd922409f0c4e14428f4650e0		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/tkparse.c	file	19572	c0ab133239b255c63af4fe811c62ac972f59560fb177170804680795491ab156		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/scripts/tkparse.h	file	2348	50924a3d20677ec0ea58b383ea3cc588fcbae73567af44df3b75a372dab150fd		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
example/nic/user_mode_test/Readme.txt	file	422	3fccd48a54290242219e9ce54edf29cc2aa14e5d06e8a23e53e66743ae488017		diagnostic/example/test	reference-only	OpenWrt userspace tools and standard networking diagnostics	not-built	Diagnostic command source is retained for register/API behavior research.
example/nic/user_mode_test/usrAppStart.c	file	11618	579355aa426dacd363a8e8139fddd06c4736f26004081de8b25c4f212399f39e		diagnostic/example/test	reference-only	OpenWrt userspace tools and standard networking diagnostics	not-built	Diagnostic command source is retained for register/API behavior research.
include/common/rt_error.h	file	24315	1c71f81e281e9186c2e6a344bcf13503ad870623502bbd0d99f751d7a4d19e73		SDK common support	legacy-support-library-retained	native Linux helpers or userspace libraries as applicable	not-built	Retained because higher-level SDK sources reference it; not independently a hardware driver.
include/common/rt_type.h	file	7222	ac8249861ff11cd9cd4acba588b80a66a13f51d9e02b0646c22bcbdcd0bc7d1a		SDK common support	legacy-support-library-retained	native Linux helpers or userspace libraries as applicable	not-built	Retained because higher-level SDK sources reference it; not independently a hardware driver.
include/common/rt_version.h	file	775	9f1e5719b76ca64f2616826d5f6779be2996f8fb43a973a43065b19e9f090689		SDK common support	legacy-support-library-retained	native Linux helpers or userspace libraries as applicable	not-built	Retained because higher-level SDK sources reference it; not independently a hardware driver.
include/common/util/rt_bitop.h	file	5757	52e2184fc9461f40a523d3f94bac65365d08bcad14e602e801bea0e0ab91d1ac		SDK common support	legacy-support-library-retained	native Linux helpers or userspace libraries as applicable	not-built	Retained because higher-level SDK sources reference it; not independently a hardware driver.
include/common/util/rt_util.h	file	4074	fb00956ebb5b074c464f98830778a761022f05f8422848946c881d4441bb56e7		SDK common support	legacy-support-library-retained	native Linux helpers or userspace libraries as applicable	not-built	Retained because higher-level SDK sources reference it; not independently a hardware driver.
include/dal/cypress/dal_cypress_acl.h	file	51485	4e93a9bf8e139a02842fb10bbf48d87fb994511196eee8e26da755400a83043e		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_common.h	file	2884	9947ef3bed491f3f30da08b01f6fad071d36dacc7059f54cbca7b5d0dc3ebcc7		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_diag.h	file	11229	1a68861bf22cbeb1ea420a9f63ce7e6d9352b7bd53719230a7cba70e97515e9a		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_eee.h	file	4558	f5c8589b2a63004a5ff8f235919bf6c268c77231984ec6eff586d57f8944a91e		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_flowctrl.h	file	24631	ffb9f359d73429a7034b1d6849f8788978e748a37db17afc740e501abb1b0f21		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_l2.h	file	99522	81d5902a7722295795215037cf5f0addae653708cb7faaa734c217b8ee78e6b4		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_l3.h	file	3503	856dafe62543273ef5b788afe854de6b20d2baf93d462dcb11212a71b94f3396		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_led.h	file	8150	20f4f727886ecedb7443de686c3f6751ea65054404df9fadf55122cc87b8c512		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_mapper.h	file	1245	9f839881191d62bfa712b92d70bff7c2be5217411c0dca0ea273121b1287f5a3		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_mirror.h	file	17317	86f213a3e9a2c838a6352178177d3ea841f90f0cadb28151be8f4538220de482		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_mpls.h	file	4703	e205f5409ffba8679c69bbd5117a0ccd434b20c9f96ea42f275ad83a33aeb92f		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_oam.h	file	29605	e6ef736f29fd2482dd42e7471e9c240f801125190ad5a73ac07ae2703abc3809		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_port.h	file	53110	6d1af93b6b583f8fc6e165e37e124f27c9a8b318f74935fc0a3c77f2fe1a7a73		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_qos.h	file	60468	ec66f71b3184bc6b314228e4a0c02afbcf3d041a354203fb1fec685e0321e089		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_rate.h	file	47282	703f3937040ad33a8e2095fcc21f321023003212d49095aede7207f4312a491e		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_sec.h	file	11023	6966e2c08c9b875c7c9438e5bb563d785e7156160c9757b54dc2344d186b5c58		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_stat.h	file	7128	77115658478097ba372210a71496a81a6c3c6249e8ac368f85d27b1ed47930f1		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_stp.h	file	6386	48cb992d71eccdd03ab8ab768e8e7303cdb367a5f2556c9de13238ea9af04f9e		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_switch.h	file	19760	a7088117c7072c190277c2832e5b8248ad9b6e25732a49e569b421945dc0c15e		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_time.h	file	7362	1ad7b86d62cbab77730579410f718281a475a57b3569c9d6d394fea8ef831d90		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_trap.h	file	50707	615e34ba2f13aa343e899e08fd714c7d150ecd5a76df277488daa628b138e6a7		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_trunk.h	file	8016	0fc8ec5eef0a1fc8ba56ea1534122668afd7796d0afff5324639bf217becf84a		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/cypress/dal_cypress_vlan.h	file	78819	c8b0ae1571a29446091afa911d194d15377873e14d9e3c2605b88464f4d0ac48		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/dal_common.h	file	1114	e9835029635e480ddb97de3856e0ed3cd6367a4cdc31cc7be066227a4764f0ff		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/dal_linkFaultMon.h	file	2373	5afa3cfa27967744f95c8a58a9e95ad88c809726d4fa4062e1f49b4903f2324e		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/dal_linkMon.h	file	4652	cc7807a9778d32cda901c0428fc0bd3f61de0acabf3c48dee06f33e1fde886af		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/dal_losMon.h	file	5204	cef391e5924ed1b4a15dac5bbc2806d853228f07ffe4bf54dd3ce4c4933f69b7		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/dal_macMon.h	file	1904	38b9ab3a31200cd4d085143def820e65ba2fe2db8c32e0ecbc2ec3e7a7f249fc		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/dal_mapper.h	file	120083	3d388ed356995164a514133de02a70f0aa3a47cc06a525069ddae3853bfbbba5		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/dal_mgmt.h	file	2437	a8e062015c043a6808c24edefb1a0ff37b2a07e945711b0c8505652eb9553c59		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/dal_waMon.h	file	2919	2adb40854527b9a9276965c6aec16f0ce6f35fa9b53756ca1751110b1b2f8462		data abstraction layer	legacy-control-api-retained	DSA, switchdev, bridge, tc, ethtool and devlink semantics	not-built	The proprietary DAL ABI is not a Linux hardware-driver ABI and is intentionally not loaded in-kernel.
include/dal/esw/dal_esw_diag.h	file	4738	1fafcefd5c52e3aeb1970d7dce0524e5cc2aea05784d82ff72c7a51e54f3994a		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_dot1x.h	file	26080	49cae0521744821155d46f653e9f8cb91c2e2951858694ccda960ebaafadabd8		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_eee.h	file	3184	c57dc1eb88748fc4459163ccbce33cca9ef4cf81216ace376f97a225878c704d		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_flowctrl.h	file	21912	d8ef9d71b56a152db49ac6920e947fc1f201f39dec07a37f9bd5fe48444436d1		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_l2.h	file	100257	79875b3e53bba7f390ab43d0e4f7389ba4e2b30410e8f19ab22ea63293ffbae1		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_l3.h	file	10714	586c11ded8a441fbf0a24cd055ee85bb72c97a9ea4e901dfc7c5c83d0ae2c210		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_led.h	file	4045	6aaaf96f6892e6b51748dbda0f45ccca75bf7718b90379c53b1f274ef868a05b		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_mapper.h	file	1022	c26eb2f8e2fca622a016bd58ad8332f14bf1b95d7af2c8795f28a6652ccb7c4f		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_mirror.h	file	27417	6780a52c1e628c04dac658f48c94e316b28285575582f342374a443b7a8a382d		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_oam.h	file	33459	87309f5308d9d98b6391f23cde8ceecd6f5ddb2010b74b84c96a643d067ebf22		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_pie.h	file	55344	f61e339956f7db96b75f7af532bd7ffdcedcba05baa8bc807ee9b1b07c6956f7		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_port.h	file	50678	64807825bca7d90491fef2e6525a6d80137093cb3269f560ec7d828b93985fe4		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_qos.h	file	61014	b8d22d9eec0905799baeec8e0410c93b3437fb62af27881bbde52d643cdab3d0		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_rate.h	file	34365	5eb84a99f1dd97380d33c81d70670e6764ef4abacec027711725ad6f5ef83017		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_sec.h	file	9174	bf75e5084f5a03115007d5c5000fd3707f4210e3f22597db6679f414102293cd		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_stat.h	file	6714	45664bbe915665482beba010447321aca8c4c02053ea18cdfe35b9e5439d5722		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_stp.h	file	4802	a595f89c4d5d26be6f4d5f4bfd0dd50e0d971fccaa878093f7d3382f5621e6df		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_switch.h	file	16654	6d9fee334f84aa16e13297c54b9c06bd62bae8c2a390efd28c19f337ca1d13e2		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_trap.h	file	68876	2be5da6bcab9bada34f9684f1f54cdddd9fd98d65d53e5e1453c1c665b751e72		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
include/dal/esw/dal_esw_trunk.h	file	12547	22a5f9016113a9ecf41ce04c035c746fc40b0820109b29c2626ae65e7757c146		RTL8328 switch/NIC/BSP	legacy-chip-gap-retained	No verified native Linux 6.6 DSA/Ethernet implementation	not-built	Source retained for register-level reference; do not claim operational RTL8328 datapath support.
